borrower_id,age,gender,education,marital_status,num_dependents,residence_type,income,employment_status,loan_amount,loan_term,interest_rate,credit_score,debt_to_income_ratio,existing_loan_balance,previous_loans,previous_default,loan_purpose,monthly_repayment,risk
80330,31,Male,Master,Divorced,1,Own,9089,Unemployed,129060,60,7.27,746,0.29,77472,1,1,Home improvement,3624.66,High
18524,21,Male,Bachelor,Divorced,2,Own,413,Unemployed,54614,36,3.9,654,0.26,25411,3,0,Car purchase,1277.3,High
15836,41,Male,Master,Widowed,5,Own,108210,Employed,72757,60,3.31,671,0.38,174322,1,0,Education,1928.34,High
60379,59,Male,PhD,Widowed,5,Own,68058,Self-Employed,164079,48,7.61,767,0.28,13039,2,1,Medical expenses,3585.26,Medium
45418,48,Male,Master,Divorced,4,Own,55761,Self-Employed,112261,60,6.49,734,0.25,14618,3,1,Medical expenses,3508.16,Medium
61827,47,Female,PhD,Single,0,Rent,0,Unemployed,92233,60,3.95,693,0.2,75227,2,1,Car purchase,1840.82,High
35911,25,Female,PhD,Widowed,2,Own,45709,Self-Employed,237634,60,4.12,706,0.4,65557,3,0,Home improvement,4870.2,High
51759,52,Male,High School,Divorced,5,Own,61407,Employed,181363,36,6.75,754,0.2,153451,2,0,Car purchase,6143.22,Low
72929,52,Female,Master,Married,4,Rent,52922,Employed,120199,36,6.39,705,0.22,178628,3,0,Home improvement,2817.03,Medium
92620,35,Female,High School,Widowed,1,Own,57779,Self-Employed,225013,60,7.56,747,0.38,45781,4,0,Home improvement,5167.8,High
44961,43,Male,High School,Single,3,Rent,81646,Self-Employed,297830,48,5.36,754,0.29,55828,1,0,Medical expenses,7735.87,Low
54350,53,Female,PhD,Married,4,Rent,69392,Employed,141696,36,6.81,716,0.25,24814,5,0,Debt consolidation,4740.12,Medium
15587,61,Female,PhD,Single,2,Rent,83398,Employed,229230,48,7.2,733,0.3,186298,4,0,Education,6388.79,Medium
29005,35,Male,Bachelor,Widowed,2,Rent,36500,Self-Employed,216060,48,6.23,716,0.39,115775,1,0,Car purchase,5564.88,High
77189,58,Female,High School,Married,5,Rent,106731,Self-Employed,359741,36,4.94,772,0.27,15372,4,1,Education,11473.74,Medium
47284,24,Male,Bachelor,Married,0,Own,46152,Employed,211635,36,7.34,711,0.28,199070,5,1,Home improvement,5008.9,Medium
91638,50,Male,Bachelor,Single,3,Rent,107851,Self-Employed,261136,60,3.21,752,0.29,166097,5,0,Car purchase,5733.39,Low
98202,64,Male,Master,Single,0,Own,33893,Self-Employed,293823,36,3.91,745,0.35,23401,3,0,Car purchase,7533.24,High
67860,25,Male,Bachelor,Single,2,Own,1906,Unemployed,81809,48,5.65,650,0.22,95680,5,1,Home improvement,1852.87,High
56412,22,Female,High School,Widowed,5,Rent,38392,Employed,116705,36,7.53,707,0.29,71356,2,0,Car purchase,3543.13,Medium
30682,26,Male,PhD,Single,4,Own,1811,Unemployed,97986,60,7.82,701,0.3,146599,4,0,Car purchase,3322.27,High
89127,20,Female,Master,Divorced,1,Rent,1339,Unemployed,74405,48,6.49,655,0.4,31594,3,0,Debt consolidation,2245.79,High
53028,54,Female,Bachelor,Divorced,1,Own,74150,Self-Employed,171732,48,5.83,753,0.29,42032,5,0,Home improvement,11051.59,Low
42749,58,Female,Bachelor,Single,2,Own,53693,Self-Employed,190917,36,6.7,737,0.3,20054,5,0,Medical expenses,7177.66,Medium
80621,63,Male,High School,Single,2,Rent,47304,Unemployed,72222,48,6.46,698,0.34,72936,4,1,Medical expenses,2120.35,High
61327,24,Female,Bachelor,Married,5,Rent,42604,Self-Employed,94591,36,5.69,708,0.34,42227,3,0,Medical expenses,2811.18,Medium
31192,53,Male,Bachelor,Single,1,Own,77596,Self-Employed,287396,36,3.42,759,0.28,166967,4,0,Medical expenses,11205.96,Low
12516,48,Male,Bachelor,Divorced,4,Own,68786,Self-Employed,165790,60,6.06,764,0.28,182901,2,0,Car purchase,6212.47,Low
99368,58,Male,High School,Single,4,Rent,44504,Employed,136766,36,3.35,737,0.32,125392,4,0,Car purchase,3082.82,Medium
44029,45,Male,High School,Married,3,Own,59619,Self-Employed,227627,48,4.1,752,0.22,88364,1,0,Car purchase,11729.65,Low
46718,61,Male,Bachelor,Single,3,Rent,69262,Employed,161012,48,3.78,764,0.28,154810,2,0,Home improvement,9660.35,Low
22978,48,Female,Master,Single,0,Own,83758,Employed,174228,60,3.05,750,0.23,55327,5,0,Car purchase,5456.32,Low
55706,25,Female,Master,Single,3,Own,11479,Unemployed,144926,36,4.18,686,0.35,41625,5,1,Education,4530.55,High
92800,32,Female,Bachelor,Divorced,4,Rent,0,Unemployed,72439,60,6.12,688,0.27,157749,1,0,Debt consolidation,1576.76,High
61499,57,Male,PhD,Widowed,2,Own,0,Unemployed,63970,48,3.05,679,0.26,87810,2,1,Education,1495.3,High
51836,57,Male,High School,Married,2,Own,48683,Self-Employed,278477,48,3.92,776,0.23,63313,3,0,Debt consolidation,9120.38,Low
13212,41,Female,Bachelor,Married,0,Rent,74743,Employed,396508,60,3.51,775,0.36,21084,2,1,Car purchase,7768.25,High
42584,54,Female,Bachelor,Married,2,Own,18864,Self-Employed,84812,36,3.43,688,0.33,136602,2,1,Debt consolidation,2328.76,High
21849,48,Male,PhD,Married,2,Own,85041,Self-Employed,366322,36,6.98,723,0.27,169047,5,1,Car purchase,10640.04,Medium
20685,40,Male,High School,Widowed,5,Rent,8843,Unemployed,143679,48,4.1,652,0.21,74770,1,1,Education,3299.19,High
82600,46,Female,PhD,Single,0,Rent,108413,Self-Employed,178950,48,5.12,751,0.29,179749,4,0,Medical expenses,8677.99,Low
65996,28,Female,PhD,Single,5,Own,71558,Self-Employed,299636,60,7.32,735,0.32,105766,1,1,Home improvement,6282.42,Medium
27638,28,Female,PhD,Divorced,5,Own,26858,Employed,53396,60,3.93,683,0.28,157239,1,1,Car purchase,1064.81,High
53496,31,Female,Master,Divorced,5,Rent,7670,Unemployed,71033,36,5.53,650,0.39,195469,5,0,Home improvement,2055.04,High
52318,55,Male,PhD,Widowed,3,Own,46369,Self-Employed,145988,36,4.25,775,0.28,145296,5,0,Car purchase,10064.07,Low
57261,43,Female,Bachelor,Married,2,Own,65099,Employed,194949,48,3.99,745,0.25,168234,1,0,Debt consolidation,4709.64,Medium
98745,31,Female,Bachelor,Widowed,3,Own,54642,Employed,213927,36,6.4,725,0.23,171651,2,1,Debt consolidation,6513.1,Medium
87601,44,Female,Bachelor,Divorced,2,Own,64287,Self-Employed,258276,36,3.72,757,0.21,61935,3,0,Home improvement,12945.44,Low
23235,61,Male,Master,Married,0,Own,4114,Unemployed,124754,36,7.24,704,0.4,166512,3,0,Debt consolidation,3985.36,High
92273,62,Male,PhD,Married,5,Rent,69843,Employed,225217,36,3.93,754,0.33,32357,4,1,Car purchase,4693.25,Medium
21559,22,Male,High School,Single,0,Own,10062,Employed,78357,60,5.98,694,0.33,29885,1,0,Medical expenses,2604.58,High
91967,33,Female,Master,Divorced,1,Own,79595,Self-Employed,234336,36,7.28,753,0.22,164358,1,0,Medical expenses,7584.96,Medium
74232,46,Male,PhD,Divorced,3,Rent,10032,Unemployed,74664,36,3.47,651,0.28,68728,4,0,Home improvement,2326.83,High
43301,32,Male,High School,Married,5,Rent,57701,Self-Employed,212813,48,3.07,751,0.27,149921,2,0,Medical expenses,9312.82,Low
12087,33,Female,High School,Married,1,Own,7122,Unemployed,76664,60,7.34,650,0.35,114046,5,1,Education,2451.99,High
52741,61,Female,Bachelor,Divorced,2,Rent,113932,Employed,313964,48,3.26,782,0.25,149211,3,0,Debt consolidation,11434.91,Low
83086,29,Female,Bachelor,Divorced,1,Rent,39723,Employed,104400,48,7.03,709,0.24,173491,5,0,Debt consolidation,3201.93,Medium
91059,38,Female,High School,Single,1,Own,60390,Self-Employed,109934,48,3.35,751,0.3,45598,1,0,Medical expenses,2292.19,Medium
40009,23,Female,Bachelor,Married,5,Rent,0,Unemployed,113898,60,4.96,692,0.38,51731,1,1,Car purchase,2369.08,High
25278,40,Male,High School,Divorced,1,Rent,277,Unemployed,78351,60,5.81,696,0.2,117182,4,0,Education,2009.09,High
47428,51,Male,High School,Widowed,1,Own,1606,Unemployed,126887,60,4.3,664,0.39,62526,1,1,Medical expenses,2044.32,High
69935,50,Female,Master,Widowed,3,Rent,18037,Unemployed,95239,60,5.27,659,0.29,104407,2,0,Car purchase,2005.57,High
37335,36,Male,Bachelor,Widowed,5,Own,68815,Self-Employed,166164,48,3.24,653,0.22,124673,5,0,Debt consolidation,3412.27,High
21797,22,Female,Master,Single,5,Rent,100187,Self-Employed,84932,36,4.38,655,0.34,166325,5,1,Education,2736.36,High
55123,64,Male,PhD,Divorced,1,Rent,112496,Self-Employed,352593,48,5.47,779,0.25,56352,5,1,Home improvement,9409.44,Medium
69900,41,Male,Bachelor,Divorced,1,Own,22079,Self-Employed,129095,36,7.63,687,0.4,171618,4,1,Debt consolidation,3748.32,High
52666,48,Female,PhD,Widowed,3,Rent,61159,Employed,255679,36,3.3,788,0.26,132326,2,0,Medical expenses,11656.37,Low
99079,65,Female,Bachelor,Married,1,Rent,57424,Self-Employed,376391,60,4.64,772,0.24,19829,3,0,Car purchase,8307.32,Low
55230,59,Female,PhD,Married,3,Rent,46333,Employed,278515,60,3.15,773,0.25,152742,3,0,Car purchase,3368.2,Low
26241,65,Female,Master,Married,0,Own,117370,Employed,193121,36,7.71,750,0.29,165046,4,0,Car purchase,7378.41,Low
38196,55,Male,Bachelor,Widowed,0,Rent,67339,Employed,198469,60,5.39,760,0.34,171798,3,1,Education,5365.05,Medium
95224,30,Male,High School,Single,1,Own,18554,Unemployed,85346,36,3.48,651,0.33,70082,1,0,Home improvement,3467.0,High
60037,32,Male,Master,Married,4,Own,69795,Self-Employed,238104,60,3.97,766,0.27,133792,1,1,Home improvement,6804.05,Medium
83469,61,Male,PhD,Married,1,Rent,75463,Self-Employed,144944,48,4.16,789,0.21,88150,1,0,Education,12788.65,Low
63934,64,Female,Master,Widowed,3,Rent,52143,Self-Employed,148262,60,4.03,780,0.26,115833,5,0,Car purchase,9849.59,Low
28857,49,Male,High School,Single,4,Rent,46479,Self-Employed,124127,60,5.08,722,0.25,117060,4,0,Car purchase,3132.26,Medium
68162,39,Male,Bachelor,Married,1,Rent,60532,Employed,204665,48,7.49,800,0.24,122937,3,0,Medical expenses,9963.62,Low
19881,62,Male,Master,Married,2,Own,119659,Self-Employed,381124,48,5.14,784,0.22,93816,3,1,Medical expenses,5661.35,Medium
74802,38,Female,Master,Married,1,Own,47958,Self-Employed,203794,60,7.0,766,0.27,110012,5,0,Debt consolidation,7675.53,Low
75173,46,Female,Master,Married,0,Rent,110888,Self-Employed,253662,48,3.69,800,0.28,187310,1,0,Car purchase,5856.39,Low
92286,64,Male,Master,Divorced,1,Own,112908,Employed,163119,60,3.22,800,0.25,35452,4,0,Home improvement,5089.03,Low
15949,64,Male,Bachelor,Married,4,Rent,84160,Employed,311177,48,7.08,794,0.32,176439,3,0,Education,7323.97,Medium
81007,64,Male,Bachelor,Widowed,5,Own,82819,Self-Employed,204517,48,6.44,702,0.39,180928,4,0,Medical expenses,4742.91,High
49617,25,Female,Master,Married,0,Own,71228,Self-Employed,200975,36,7.45,786,0.27,87291,2,0,Home improvement,6851.45,High
30158,34,Male,PhD,Single,2,Own,65800,Self-Employed,131703,36,7.07,728,0.26,33071,4,1,Home improvement,3392.42,Medium
97207,55,Female,Master,Married,0,Rent,93615,Self-Employed,390918,48,5.56,781,0.27,187966,2,0,Medical expenses,11707.91,Low
81637,64,Female,Master,Single,1,Own,62634,Self-Employed,364526,60,3.42,771,0.3,80033,5,0,Car purchase,9897.57,Low
97245,60,Male,PhD,Married,1,Own,15421,Unemployed,69085,60,3.77,682,0.4,131180,4,1,Car purchase,1809.1,High
43628,27,Male,High School,Divorced,4,Rent,53109,Self-Employed,193574,36,5.22,719,0.39,154547,3,0,Medical expenses,6219.1,High
78835,65,Male,Master,Single,1,Own,72427,Self-Employed,390918,60,6.08,750,0.29,182299,3,0,Education,10833.08,Low
40247,31,Female,High School,Married,0,Own,33914,Unemployed,94512,48,6.87,697,0.39,22037,4,1,Education,2816.09,High
56049,45,Female,PhD,Single,5,Rent,43816,Self-Employed,225877,48,3.39,728,0.27,21617,3,0,Education,4520.38,Medium
61745,59,Male,High School,Single,3,Rent,12261,Unemployed,124089,36,6.59,711,0.37,12377,3,1,Education,2915.01,High
82485,59,Male,Bachelor,Single,3,Own,5857,Unemployed,110546,48,6.65,711,0.36,120299,3,1,Medical expenses,2395.37,High
62406,28,Male,High School,Married,2,Own,74502,Self-Employed,398694,36,6.2,785,0.2,110490,1,1,Car purchase,12100.41,Medium
88246,49,Female,High School,Single,3,Rent,99300,Employed,256538,36,5.34,764,0.34,46404,5,0,Medical expenses,8293.12,Medium
82357,65,Female,PhD,Married,5,Rent,78059,Employed,150225,36,3.4,779,0.29,127372,1,0,Medical expenses,7137.97,Low
17469,53,Male,Bachelor,Single,4,Own,96589,Employed,247113,60,4.56,788,0.33,88378,4,1,Debt consolidation,5673.17,Medium
66177,45,Male,High School,Divorced,2,Own,87611,Self-Employed,272508,60,3.48,798,0.29,180598,5,0,Medical expenses,6118.89,Medium
91133,36,Female,Bachelor,Married,1,Rent,116655,Employed,159810,48,3.07,752,0.25,140673,2,0,Debt consolidation,12061.21,Low
59754,37,Male,High School,Widowed,0,Rent,0,Unemployed,56629,48,4.22,658,0.36,63793,1,0,Medical expenses,1378.92,High
67914,39,Female,Master,Married,5,Rent,42228,Employed,69937,36,3.29,652,0.4,196732,3,0,Debt consolidation,2225.59,High
26612,63,Male,High School,Married,1,Own,50801,Self-Employed,138002,48,3.11,736,0.21,154801,4,1,Home improvement,2727.26,Medium
32090,62,Female,High School,Single,4,Rent,0,Unemployed,81275,48,5.9,695,0.38,120580,4,0,Car purchase,2092.83,High
95165,54,Female,Master,Divorced,1,Own,51861,Unemployed,247544,48,4.45,684,0.4,78657,1,1,Debt consolidation,5533.36,High
70287,24,Female,Master,Single,5,Own,10807,Unemployed,63597,48,5.22,656,0.22,95367,5,1,Home improvement,1532.85,High
96544,65,Male,Master,Married,3,Own,106289,Employed,270941,36,3.05,759,0.25,179095,3,0,Car purchase,6741.04,Low
64873,25,Female,High School,Married,1,Own,19998,Unemployed,71755,60,3.7,663,0.36,25560,5,1,Medical expenses,1417.16,High
31846,48,Female,Master,Divorced,4,Rent,91419,Self-Employed,244254,60,4.18,792,0.22,90427,2,1,Medical expenses,4921.72,Medium
65203,29,Male,PhD,Single,1,Own,34406,Self-Employed,132660,60,5.67,670,0.36,88652,3,0,Education,2837.82,High
25416,56,Male,Bachelor,Widowed,2,Own,1023,Unemployed,60762,36,4.82,650,0.35,179061,3,1,Car purchase,1734.63,High
99054,55,Female,High School,Single,0,Own,18235,Unemployed,131760,36,4.79,695,0.24,146429,5,0,Home improvement,2887.28,High
81242,63,Male,PhD,Married,3,Rent,111637,Employed,265886,36,5.48,792,0.29,43585,1,0,Car purchase,6470.83,Low
85793,20,Male,PhD,Divorced,5,Own,47060,Self-Employed,66650,36,7.06,692,0.38,133193,4,1,Home improvement,1795.38,High
87335,40,Male,Master,Single,0,Rent,109826,Self-Employed,332724,48,7.14,793,0.31,188400,5,1,Car purchase,7735.72,Medium
99117,35,Female,Master,Single,2,Own,87780,Self-Employed,198716,60,3.21,762,0.27,184791,5,0,Car purchase,5643.63,Low
30504,42,Male,Master,Single,1,Own,62440,Employed,258573,48,3.85,735,0.22,169951,1,0,Education,4845.65,Medium
24150,36,Male,Master,Single,3,Rent,53751,Employed,156182,36,6.24,743,0.24,180809,4,0,Debt consolidation,5150.54,Medium
54851,59,Male,Master,Married,3,Rent,65861,Self-Employed,249374,36,5.71,770,0.28,180813,5,0,Debt consolidation,10044.73,Low
47628,21,Female,PhD,Single,4,Rent,59036,Self-Employed,201607,48,6.2,712,0.25,185608,5,1,Debt consolidation,4080.33,Medium
96751,42,Male,Bachelor,Single,4,Rent,58319,Employed,262365,48,5.84,800,0.28,71413,2,0,Car purchase,10797.94,Low
40665,41,Female,Master,Widowed,3,Own,84013,Self-Employed,167060,48,6.09,758,0.32,153466,5,1,Home improvement,4243.12,Medium
29288,57,Male,Master,Married,4,Rent,107478,Employed,222764,36,6.06,787,0.24,107987,3,0,Home improvement,7642.4,Low
67015,38,Male,Bachelor,Widowed,0,Own,51561,Self-Employed,285539,60,3.78,766,0.29,141038,3,0,Car purchase,11430.7,Low
66556,42,Male,Bachelor,Single,4,Own,15515,Unemployed,69332,48,5.79,650,0.24,161701,1,1,Home improvement,1195.4,High
33963,38,Male,High School,Single,5,Own,65270,Self-Employed,231672,36,3.2,752,0.25,108491,5,1,Education,6063.75,Medium
68185,40,Female,High School,Single,3,Own,34498,Employed,61921,36,6.99,653,0.2,23660,5,1,Education,1743.77,High
79756,52,Female,PhD,Divorced,2,Rent,19436,Unemployed,82849,60,5.35,738,0.22,123638,1,0,Medical expenses,2072.79,High
90469,64,Female,PhD,Single,1,Rent,79449,Self-Employed,390918,60,3.39,751,0.21,86808,3,0,Car purchase,3643.29,Low
67628,23,Male,High School,Divorced,3,Rent,2901,Unemployed,72564,48,6.58,655,0.32,188353,2,1,Debt consolidation,2664.02,High
32146,60,Female,PhD,Single,5,Rent,972,Unemployed,154565,36,4.02,699,0.26,113924,3,1,Education,3803.02,High
13911,38,Male,High School,Single,0,Own,49004,Unemployed,86764,48,7.43,681,0.24,89357,5,0,Debt consolidation,2098.99,High
21405,21,Male,Master,Single,5,Rent,21665,Self-Employed,118479,60,3.19,704,0.25,77975,2,1,Debt consolidation,1887.14,High
69481,60,Male,High School,Divorced,3,Own,53123,Self-Employed,149358,36,4.94,751,0.25,194813,1,0,Home improvement,4623.63,Low
46807,57,Female,Bachelor,Single,0,Rent,112272,Self-Employed,398694,60,7.98,798,0.33,51049,1,1,Car purchase,12870.71,Medium
31219,61,Female,PhD,Divorced,1,Own,98255,Self-Employed,163511,60,4.04,726,0.3,82745,2,1,Debt consolidation,5790.57,Medium
61106,60,Female,Bachelor,Single,2,Rent,84024,Employed,148361,60,3.12,795,0.24,146508,5,0,Car purchase,9126.77,Low
86635,20,Female,High School,Single,2,Rent,443,Unemployed,51289,36,7.89,650,0.2,93696,3,1,Education,1105.3,High
74196,28,Female,Bachelor,Widowed,2,Rent,0,Unemployed,117294,36,5.55,676,0.22,183239,5,1,Car purchase,3800.65,High
79087,61,Female,PhD,Married,4,Rent,0,Unemployed,193122,48,7.41,665,0.28,62349,1,0,Education,4344.76,High
12179,42,Male,High School,Widowed,2,Rent,84846,Self-Employed,229347,48,7.53,715,0.34,159630,1,1,Home improvement,5477.49,Medium
61300,56,Male,Bachelor,Married,5,Own,58688,Employed,322807,36,3.82,759,0.29,88715,3,0,Car purchase,12124.48,Low
53846,24,Female,Master,Married,2,Rent,51675,Unemployed,231047,60,3.79,663,0.39,100599,2,0,Medical expenses,4555.69,High
15214,22,Female,High School,Married,0,Rent,57928,Employed,208978,60,4.94,746,0.29,42601,5,0,Education,5130.94,Medium
46447,42,Female,Bachelor,Married,3,Own,89744,Employed,144159,60,3.05,751,0.26,148630,1,0,Medical expenses,4985.57,Low
24107,55,Male,PhD,Divorced,1,Own,48143,Employed,162033,36,4.63,760,0.26,194532,5,0,Car purchase,11785.79,Low
63171,22,Female,Bachelor,Widowed,3,Rent,41600,Employed,139712,36,7.78,736,0.26,52627,5,1,Medical expenses,3754.9,Medium
59496,20,Female,Master,Married,5,Own,17586,Unemployed,89275,48,4.64,676,0.27,51937,5,1,Education,2143.97,High
17969,28,Female,PhD,Divorced,2,Rent,300,Unemployed,66168,36,6.32,658,0.2,136460,3,1,Home improvement,2504.28,High
81457,62,Female,Bachelor,Married,4,Own,67956,Employed,176054,36,4.32,784,0.28,102495,2,0,Car purchase,4698.15,Low
50322,41,Male,Master,Single,4,Own,70599,Self-Employed,323383,36,5.6,734,0.23,52200,3,1,Medical expenses,7758.28,Medium
87207,43,Male,PhD,Single,1,Rent,94679,Employed,165378,60,4.17,771,0.21,114272,2,0,Home improvement,4701.03,Medium
59929,53,Male,PhD,Divorced,3,Rent,4663,Employed,69872,36,4.61,673,0.35,142051,2,0,Education,2486.42,High
84227,26,Female,Bachelor,Single,3,Own,60944,Self-Employed,189717,60,5.55,722,0.25,197171,5,0,Education,4155.21,Medium
94148,44,Female,High School,Widowed,3,Rent,65329,Self-Employed,271565,48,4.1,750,0.22,155920,2,0,Debt consolidation,6628.95,Low
65047,51,Female,PhD,Widowed,2,Own,46561,Employed,117592,36,7.98,717,0.27,82977,2,1,Debt consolidation,4855.92,Medium
62709,51,Female,High School,Divorced,4,Own,104743,Self-Employed,214578,48,7.4,759,0.27,197608,3,1,Debt consolidation,5793.61,Medium
24105,44,Female,PhD,Divorced,1,Rent,96512,Employed,151674,48,6.54,761,0.3,119491,1,0,Car purchase,7095.34,Low
41921,24,Male,High School,Widowed,4,Own,4109,Unemployed,121316,48,5.29,654,0.35,19988,5,0,Medical expenses,2552.35,High
52170,36,Female,Bachelor,Divorced,0,Own,70579,Employed,122220,48,7.75,689,0.4,67745,5,0,Home improvement,2540.9,High
54888,42,Female,Master,Divorced,4,Own,4650,Unemployed,87993,60,4.18,651,0.21,146955,2,0,Education,2737.0,High
79364,27,Male,High School,Widowed,2,Own,91908,Self-Employed,337877,36,7.98,789,0.29,188747,4,1,Debt consolidation,10805.67,Medium
76598,20,Male,Bachelor,Single,0,Own,23675,Self-Employed,122608,48,5.91,650,0.34,121272,5,0,Medical expenses,2635.44,High
29690,55,Male,High School,Single,5,Rent,49482,Self-Employed,148480,36,7.0,759,0.29,131200,1,0,Car purchase,7212.54,Low
11581,31,Female,PhD,Single,5,Own,69045,Self-Employed,301647,60,7.31,737,0.22,19774,1,1,Debt consolidation,8341.58,Medium
84407,64,Male,Bachelor,Married,5,Rent,65389,Employed,190962,36,4.26,739,0.33,129038,3,0,Car purchase,3567.5,Medium
